Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Birthrate,Deathrate,Agriculture,Industry,Service,Life expectancy,CPI Score,unemployment_percentage,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Guinea,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,41.76,15.48,0.237,0.36200000000000004,0.401,56.0125,25.010293,2.8,Africa,147,3.8535999938964838,0.2733739860191346,0.6375789371299745,0.2417018278369904,0.3522735025939942,0.17948101841735836,0.17532952354383458
Haiti,8308504,27750,299.4,6.38,-3.4,73.45,1600.0,52.9,16.9,28.3,11.61,60.09,36.44,12.17,0.28,0.2,0.52,59.86875000000001,19.399883,40.6,America,146,3.86559998512268,0.3228620525741578,0.616215964389801,0.3357462260074616,0.08926797146523,0.3233427561779022,0.2510644299054147
Honduras,7326496,112090,65.4,0.73,-1.99,29.32,2600.0,76.2,67.5,9.55,3.22,87.23,28.24,5.28,0.139,0.312,0.5489999999999999,72.99374999999998,27.791903,5.9,America,84,5.240800046539307,0.6564366235466004,1.058876995742798,0.6622998959884644,0.3966219720420838,0.16329977472972862,0.13200309050941467
Hungary,9981334,93030,107.3,0.0,0.86,8.57,13900.0,99.4,336.2,50.09,2.06,47.85,9.72,13.11,0.037000000000000005,0.312,0.6509999999999999,73.82499999999997,48.955448,4.4,Europe,80,5.329399976348876,1.2040743868560797,1.2575846183853139,0.7365786905059812,0.23053670386219025,0.05854033248186113,0.061127387481927885
Iceland,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,13.64,6.72,0.086,0.15,0.765,82.44375000000002,79.474027,2.8,Europe,5,7.511000037384035,1.3865226040802,1.4928128014068602,0.917744424423218,0.6180345270652771,0.2947480441474914,0.26452131189441674
India,1095351995,3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,22.01,8.18,0.18600000000000005,0.276,0.5379999999999999,65.41874999999999,37.399087,8.8,Asia,131,4.2978000114440915,0.7307142496299744,0.5881165193481446,0.4989255233669282,0.4615394009990693,0.15513569789218898,0.15705137705183028
Indonesia,245452739,1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,20.34,6.25,0.134,0.45799999999999996,0.408,67.55625,34.42781,5.4,Asia,83,5.2520000167846685,0.9209697184677126,1.1311549398574818,0.5612031441059113,0.4661606926403046,0.3193849175872802,0.2283754270980954
Iran,68688433,1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,17.0,5.55,0.11599999999999999,0.424,0.46,73.85624999999997,26.920371000000003,12.4,Africa,107,4.689199982452392,1.088450621391296,0.6515182498054505,0.6911406377067566,0.30781852162265777,0.21071458264923104,0.2138002146999836
Iraq,26783383,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,31.98,5.37,0.073,0.6659999999999999,0.261,70.35625,17.204128,16.0,Africa,116,4.528400043487547,1.043188097091674,0.8681106395606994,0.5448620939979554,0.21642310653877264,0.15397545280265804,0.1332651509375572
Ireland,4062235,70280,57.8,2.06,4.99,5.39,29600.0,98.0,500.5,15.2,0.03,84.77,14.45,7.82,0.05,0.46,0.49,80.15,73.93603900000002,6.4,Europe,15,6.964400047302246,1.4604153278579723,1.4450562230682382,0.878932524848938,0.5721920684051514,0.323485664571762,0.3646056306629181
